                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.7525,                 1.7744,                 1.6931,                0.78597,                0.51924,                0.59238,                0.37307,                 2.2127,                 1.4038,                 1.6734,             0.00054875,             0.00054875,             0.00054875
                     36,                 2.6343,                 1.7149,                 1.6943,                0.79042,                0.53054,                0.59989,                0.37285,                 2.2446,                  1.396,                 1.6757,             0.00052812,             0.00052812,             0.00052812
                     37,                 2.6875,                  1.689,                 1.6861,                0.83588,                0.51086,                0.59944,                0.35391,                 2.3185,                 1.3803,                 1.6852,              0.0005075,              0.0005075,              0.0005075
                     38,                 2.7295,                  1.705,                  1.688,                0.77964,                 0.5315,                 0.5843,                0.36978,                 2.2237,                 1.3623,                 1.6751,             0.00048687,             0.00048687,             0.00048687
                     39,                 2.6649,                 1.6486,                 1.6864,                0.82944,                0.54094,                0.62203,                0.38701,                 2.2128,                 1.3318,                 1.6733,             0.00046625,             0.00046625,             0.00046625
                     40,                 2.5723,                 1.6338,                 1.6785,                0.77708,                0.56511,                0.61687,                0.39451,                 2.1786,                 1.3047,                 1.6738,             0.00044563,             0.00044563,             0.00044563
                     41,                 2.6017,                 1.6131,                 1.6817,                0.76711,                0.58608,                0.62882,                0.38331,                  2.238,                 1.3077,                 1.6761,               0.000425,               0.000425,               0.000425
                     42,                  2.626,                 1.6175,                 1.6745,                0.80235,                0.53687,                 0.6293,                 0.3994,                 2.1719,                 1.2815,                 1.6692,             0.00040438,             0.00040438,             0.00040438
                     43,                 2.6557,                 1.6333,                 1.6914,                0.75089,                0.57582,                 0.6234,                0.39333,                 2.1986,                 1.2719,                 1.6696,             0.00038375,             0.00038375,             0.00038375
                     44,                 2.6181,                 1.6841,                 1.6895,                0.75838,                0.56406,                0.61805,                0.39797,                 2.1855,                 1.2704,                 1.6748,             0.00036313,             0.00036313,             0.00036313
                     45,                 2.7024,                 1.6646,                 1.6847,                0.79447,                0.54033,                0.61937,                0.39181,                 2.2291,                 1.3104,                 1.6684,              0.0003425,              0.0003425,              0.0003425
                     46,                 2.6106,                 1.6164,                 1.6847,                0.82089,                 0.5605,                0.65562,                0.40849,                 2.2175,                  1.258,                 1.6677,             0.00032188,             0.00032188,             0.00032188
                     47,                 2.6456,                 1.6189,                 1.6774,                0.80723,                 0.5561,                0.64584,                0.39395,                 2.2178,                 1.2647,                 1.6748,             0.00030125,             0.00030125,             0.00030125
                     48,                 2.5467,                 1.5604,                 1.6743,                0.81834,                0.54943,                0.65051,                 0.4117,                 2.1292,                 1.2442,                 1.6603,             0.00028063,             0.00028063,             0.00028063
                     49,                 2.5105,                  1.567,                 1.6758,                0.80376,                0.56319,                0.64366,                0.40855,                 2.1659,                 1.2296,                 1.6674,                0.00026,                0.00026,                0.00026
                     50,                 2.6316,                 1.5876,                 1.6763,                0.81432,                0.55976,                0.64844,                0.41184,                 2.1313,                  1.233,                 1.6638,             0.00023938,             0.00023938,             0.00023938
